Показник,Територіальний розріз,Вид економічної діяльності,Періодичність,Одиниця виміру,Масштабування,Кількість десяткових знаків,Спеціальне значення даних,Примітки набору даних,Примітки спостереження,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Витрати на наукові дослідження і розробки,Волинська,Усього,Річна,Гривня,Тисячі,Один,,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,13604.1,18414.9,18434.7,9948.3,9994.2,11303.4,10700.0,8743.0,11059.4,15130.0
Витрати на наукові дослідження і розробки,Донецька,Усього,Річна,Гривня,Тисячі,Один,,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,18902.8,13244.9,16235.9,32503.1,22316.2,37763.0,21562.7,21879.5,28924.8,24930.2
Витрати на наукові дослідження і розробки,Дніпропетровська,Усього,Річна,Гривня,Тисячі,Один,,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,1843750.8,2261934.6,2029774.4,2310005.4,1511469.5,2091685.3,1831110.3,3478511.9,2770319.5,3479284.7
Витрати на наукові дослідження і розробки,Житомирська,Усього,Річна,Гривня,Тисячі,Один,,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,21360.5,28098.6,30654.6,26372.1,26062.2,26893.5,30544.0,29446.1,30799.9,54388.5
Витрати на наукові дослідження і розробки,Закарпатська,Усього,Річна,Гривня,Тисячі,Один,,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,46430.0,55241.8,75107.8,77694.5,84933.8,117755.7,83428.3,72042.4,127380.8,145099.2
Витрати на наукові дослідження і розробки,Запорізька,Усього,Річна,Гривня,Тисячі,Один,Конфіденційна статистична інформація,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",712401.9,914062.4,1387903.5,1538450.0,,,,,,
Витрати на наукові дослідження і розробки,Івано-Франківська,Усього,Річна,Гривня,Тисячі,Один,,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,20325.8,28051.2,47914.5,42107.7,50990.2,58583.6,39571.6,51164.9,116601.0,147482.9
Витрати на наукові дослідження і розробки,Кіровоградська,Усього,Річна,Гривня,Тисячі,Один,Конфіденційна статистична інформація,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",74614.5,75619.7,100762.4,24873.6,21002.8,13069.9,,,,
Витрати на наукові дослідження і розробки,Київська,Усього,Річна,Гривня,Тисячі,Один,,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,274177.9,299219.3,410794.7,417736.0,355376.7,328171.3,285042.7,319401.9,431343.4,475689.5
Витрати на наукові дослідження і розробки,Луганська,Усього,Річна,Гривня,Тисячі,Один,Конфіденційна статистична інформація,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",23577.7,29332.4,36880.6,39288.4,31025.4,13677.1,,,,
Витрати на наукові дослідження і розробки,Одеська,Усього,Річна,Гривня,Тисячі,Один,,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,237456.8,270263.0,299189.8,342214.1,317373.0,345928.6,283966.6,319134.0,462122.6,387880.7
Витрати на наукові дослідження і розробки,Львівська,Усього,Річна,Гривня,Тисячі,Один,,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,264845.5,365997.1,426789.7,465522.2,494408.4,660957.3,512476.8,640245.1,828918.9,881370.3
Витрати на наукові дослідження і розробки,Миколаївська,Усього,Річна,Гривня,Тисячі,Один,,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,392583.5,349345.2,330694.5,236640.0,301069.9,435674.2,165192.4,125344.7,161115.4,153012.6
Витрати на наукові дослідження і розробки,Рівненська,Усього,Річна,Гривня,Тисячі,Один,,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,9327.1,13723.8,19323.8,17619.0,13841.6,14858.7,15920.7,21392.1,24924.8,23280.9
Витрати на наукові дослідження і розробки,Полтавська,Усього,Річна,Гривня,Тисячі,Один,,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,55845.0,65967.7,80723.4,44639.3,37622.3,45926.0,43315.7,44918.0,77068.0,93000.3
Витрати на наукові дослідження і розробки,Сумська,Усього,Річна,Гривня,Тисячі,Один,,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,129682.3,160696.5,182433.3,93616.4,152974.9,176824.0,134831.4,168815.7,235337.2,246597.2
Витрати на наукові дослідження і розробки,Тернопільська,Усього,Річна,Гривня,Тисячі,Один,,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,14052.4,19200.1,30195.3,29094.1,35811.9,41656.3,36009.6,35239.9,56882.7,52227.5
Витрати на наукові дослідження і розробки,Харківська,Усього,Річна,Гривня,Тисячі,Один,,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,2063160.8,2399423.8,3144459.8,2864159.0,2558277.4,1929328.3,1282031.3,2068009.6,3467290.6,3940696.6
Витрати на наукові дослідження і розробки,Херсонська,Усього,Річна,Гривня,Тисячі,Один,Конфіденційна статистична інформація,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",48804.6,73601.9,81190.7,72220.1,81586.5,68701.4,,11766.6,11243.8,13917.0
Витрати на наукові дослідження і розробки,Хмельницька,Усього,Річна,Гривня,Тисячі,Один,Конфіденційна статистична інформація,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",12959.2,17510.0,21286.9,19233.7,,,20897.6,,23250.8,32783.0
Витрати на наукові дослідження і розробки,Чернівецька,Усього,Річна,Гривня,Тисячі,Один,,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,61275.9,68333.9,87928.1,105729.7,112105.9,134836.0,112487.1,167341.7,229727.2,289298.7
Витрати на наукові дослідження і розробки,Черкаська,Усього,Річна,Гривня,Тисячі,Один,,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,118405.2,97350.6,98571.8,52040.2,75642.5,122302.1,66055.0,91930.4,124744.2,156266.0
Витрати на наукові дослідження і розробки,Київ,Усього,Річна,Гривня,Тисячі,Один,,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,4991777.9,5665559.7,7718179.6,8306961.9,9115690.7,12225310.5,10523051.7,12929664.3,16732313.6,20904946.9
Витрати на наукові дослідження і розробки,Чернігівська,Усього,Річна,Гривня,Тисячі,Один,,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,41902.0,44296.3,49238.5,46342.6,69910.9,78981.9,55041.9,111102.1,92674.9,143084.9
